texture
ふるっふる
皮パリッ
良い
プリン風
懐かしい
固まり
ゆるやわ
あっさり
やわとろ
とろっとして
コッテリ
冷める
固めの
ソース
低脂肪
泡
お手軽
ちょい食べ
ペロリ
とろプル
固くなってしまった
しっかりふくらみ
風味豊か
ぷるんと
ほろニガ
爽やか
膨らみました
ザラメ
シャリシャリ食感
食べ応えあり
柔らかな
ねっとり
ちょこっと
焼けました
ほろ苦さ
シンプル
濃厚
コク
プルんプルん
ent.textforentindoc.entsifent.label_==TEXTURE
シャリシャリ
硬め
甘い
ヒンヤリ
プチ
フワフワ
レアチーズケーキ
ふんわり
膨らみ不足
焼きたて
肌寒い
平たくなる
ふっくら
硬さ
固まりました
緩さ
固さ
ゆるゆる
ツルっと
硬さもちょうど良い感じ
パリっ
アイスみたいな食感
甘すぎない
プル②
もっち～り
フワッ
ぷるりん
サクッと
おいしい
膨らみ
形イマイチ
とろける
滑らか
プルンと柔らかい
リッチ
ゆるく
風味
ケーキ
柔らかすぎない
空洞
良く膨らみ
豪華
香ばしさ
中とろりん
プルプル感
もちとろ
クリームチーズの風味が活きている
豊か
プチプチ
小粒
軽く
固く
しっかり膨らんだ
クリーミー
クリーミィー
パリッ
とろとろ
トロトロ
ふくらんで
柔らかく
満たされました
プリッと
ふんわりとした
ミルキー
緩く
すぐに縮む
苦め
トロントロン
カリッと
柔らかさ
ぷるんと柔らかい
パラパラ
切り崩しバージョン
ぷっくり
固い
喉越し
フワモコ
焦げ
香り
パリパリ
ふわふわ
ぼろぼろ
砂糖控えめ
シャキシャキ
手軽
冷たい
泡立てる
優しい甘さ
プルンプルン
食感
とろーり
新鮮
ユルさ
空洞が無くなり
ざらつき
超ウマ
冷蔵
どっしり
まったり
小さかった
まん丸
かたまりが弱かった
パクパク
柔らか
ざらざら
程よい固め
さっぱり味
レア
もったり
おうちプリンのおいしさに目覚めた
ムッチムチ
とろ～り
もちぷる
ダイス
ふ～わふわ
ひんやり
美味しかった
あっさりした
ぷるっぷる
ピューレ
ソフト蒸し
さっぱり
トロっと
とろ旨
特大
さっくさく
酸味
つるん
ぷるんぷるん
優しい
つぶつぶ
ゼリーみたい
プリン
ゆるさ
重くなく
美味しい
軽い
楽しめた
爽
湿気て
美味しくできました
簡単
クッキーシューみたい
コクあり
しっかり目
パックリさく
プルンッ
香ばしい
立派
もっちりとした
ぷるるん
粉っぽい
とろぷるもっちり
パリッと
大人味
サッパリ
甘さ
しっとり
黒い
ほどよい堅さ
超美味
サックリ
ほっこり
もちもちとした
プルプル
つるんとした
固め
ボリューム
味
弾力のある
しっかり固まり
トロン
チーズ感
ツルンツルン
プチシュー
しっかり
なめらか
一口サイズ
食べやすい
萎んじゃった
平面で膨らみ
さくっと
プツプツ
さわやか
好みの食感
しっかりした
ぷるん
食感良い
少しふくらみが足りない
モチモチ
トロットロ
フルフル
程よい口あたり
ふくらみがイマイチ
トロッ
緩い
甘め
甘さ控えめ
すごいぷるぷる
冷凍
ふわとろ
ほわほわ
サックサク
ほろ苦ほんのり甘く
柔らかい
とろぷる
弛かった
良い感じ
膨らまず
さっくり
ジューシー
ちょうどいい甘さ
固まった
しゃきしゃき
もちもち
ふるふる
コクがあって
膨らんだ
甘くて
柔らかめ
膨らんで
サクカリッ
モチモチ感
気泡
たっぷり
とろ～りクリーミー
破れにくい
もっちり
ビター
サクふわ
焼けて
とろけて
かわいい
綺麗に膨らんだ
プルン
膨らみ具合
かたかった
ハード
つるつる
サクサク
こんがり
さくさく
ぎりぎり
ねばねば
甘み
つるんと
ふくらみ
焦がし
バリッとした
後味爽やか
食べ応え
美味
膨ら
ぷるぷる
ツルン
とろぉん
ほろ苦
カリカリ
固まらず
プリン手軽
甘酸っぱい
もちっと
固まる
...
